517,655
525,489
32,955
2,388
2,829
2,426
3,010
2,288
3,040
2,448
1,414,264
2,679
25,341
2,386
3,129
7,880
2,862
3,201
2,798
2,961
3,322
2,916
3,264
2,913
3,121
2,917
5,024
2,992
3,504
2,839
7,272
3,161
3,047
3,433
2,977
3,099
2,973
2,934
2,724
3,161
2,734
3,189
2,952
3,235
2,556
7,783
2,537
3,444
2,515
3,234
2,680
2,961
2,752
3,532
2,556
3,792
2,592
3,076
2,538
3,087
7,331
3,113
3,031
3,155
2,476
3,234
3,019
3,018
3,041
2,803
3,312
2,859
2,990
3,284
2,651
7,503
2,821
2,898
3,257
2,636
3,094
3,117
3,159
3,014
2,846
4,280
3,360
3,687
3,923
2,696
8,724
3,035
3,901
3,058
3,327
3,469
3,813
3,336
3,870
2,884
4,178
3,084
3,640
3,159
3,868
7,703
3,799
3,124
3,299
2,939
3,083
2,935
3,082
2,972
3,092
3,259
2,798
3,616
2,776
3,044
7,268
3,281
2,749
3,556
2,715
3,780
2,242
3,598
2,678
3,283
2,895
3,948
2,931
3,223
6,828
3,419
3,136
2,778
3,381
2,683
3,369
2,568
3,482
2,797
2,905
4,653
3,402
5,513
3,038
7,554
3,237
3,080
3,234
3,062
2,746
2,968
3,068
3,186
2,889
2,897
3,073
2,945
3,128
2,877
9,132
3,106
2,981
2,834
2,787
3,095
2,647
3,334
2,689
3,384
2,349
3,514
2,498
3,465
2,701
7,846
2,842
3,718
2,724
2,569
2,809
3,034
2,633
2,888
3,083
2,812
2,887
2,389
2,975
2,856
7,081
2,724
2,916
2,661
3,009
2,848
2,589
3,309
2,268
3,069
8,242
2,805
2,384
2,739
2,783
7,054
2,584
2,445
3,266
2,317
2,846
2,678
2,677
2,798
2,179
3,116
2,429
2,861
2,369
6,695
2,519
2,656
2,408
2,592
2,658
2,398
2,520
2,639
2,431
2,533
2,494
2,525
2,538
2,810
6,741
2,320
2,598
2,482
2,973
2,343
2,466
2,642
2,703
2,651
2,518
2,650
3,205
2,416
2,470
6,758
2,588
2,687
2,883
2,774
2,201
2,750
2,421
3,125
2,500
3,638
2,775
2,440
2,535
2,634
7,410
2,620
2,661
2,555
2,614
2,742
2,467
2,948
2,258
2,604
2,358
3,021
2,454
2,393
6,848
2,426
2,690
2,763
2,400
2,560
2,365
2,856
2,413
3,080
2,473
2,670
2,285
2,533
2,964
7,416
5,817
5,244
2,667
2,692
2,554
2,282
2,916
2,506
3,377
2,250
2,878
2,611
2,585
2,883
6,793
2,930
2,500
2,632
2,659
2,317
2,866
2,346
2,886
2,569
3,711
3,068
2,716
3,724
8,126
3,338
2,955
3,157
3,114
2,813
3,284
2,656
3,714
3,588
2,804
3,219
3,349
2,958
7,318
3,206
2,718
3,701
2,917
2,982
2,511
3,163
2,532
3,341
2,942
2,640
3,638
2,646
3,330
7,366
2,593
3,207
2,909
2,865
3,041
2,733
2,878
3,341
3,220
3,884
2,846
3,367
3,014
2,625
2,894
3,132
2,940
3,220
2,906
2,512
3,516
2,953
3,466
3,067
3,808
2,694
2,769
2,798
7,115
2,660
2,593
3,241
2,578
2,858
2,745
2,713
3,097
2,485
2,702
2,784
2,661
6,450
7,473
3,071
3,140
3,168
3,463
2,965
2,675
3,403
2,744
3,346
2,961
3,107
2,698
3,271
3,048
7,298
2,936
2,812
2,997
2,808
3,257
2,961
2,670
334,184
