3,123,771
3,245,741
5,088,819
3,332,287
3,217,947
3,450,168
2,980,226
915,678,409
3,753,350
16,272,429
2,686,607
4,536,832
2,993,769
4,310,457
3,594,238
3,890,269
3,440,301
6,259,835
3,799,262
3,903,884
3,647,550
3,786,554
3,669,055
4,036,941
3,786,496
3,889,974
3,419,088
3,523,674
3,665,562
3,661,827
3,686,815
5,866,345
3,768,335
3,644,901
3,680,995
3,642,168
3,877,908
3,737,050
3,798,667
3,554,586
3,928,805
3,613,556
3,930,593
3,017,750
3,655,628
3,759,985
5,438,100
4,027,938
3,686,383
3,720,598
3,372,297
3,749,733
3,678,123
3,104,032
3,633,206
3,706,584
3,788,810
3,902,555
3,581,567
3,746,119
3,669,381
5,958,307
3,463,339
3,368,464
3,771,035
3,649,661
3,645,304
3,647,291
3,552,375
5,352,338
3,882,908
3,462,709
3,922,234
3,215,457
3,967,302
3,548,913
6,222,139
3,503,203
3,541,144
4,250,429
4,598,294
4,443,766
4,895,561
4,126,570
4,926,418
4,287,718
4,769,219
4,291,948
4,434,297
4,574,003
4,530,650
6,466,707
4,705,036
4,401,179
4,671,569
4,572,367
4,694,621
4,613,389
4,422,000
3,258,675
3,277,233
4,071,974
3,535,929
3,633,769
4,003,983
3,806,620
5,388,298
3,887,946
3,316,648
3,603,211
4,045,485
3,697,481
4,226,415
3,051,441
4,098,240
2,865,456
4,116,788
3,467,670
3,819,083
3,585,562
5,728,079
3,840,568
3,710,557
3,295,328
3,847,518
3,515,067
3,764,404
3,549,615
7,171,352
3,602,724
3,601,493
3,152,657
3,837,334
3,831,394
3,826,671
5,924,583
3,876,765
3,406,241
3,282,576
3,787,213
3,271,867
3,515,626
3,623,817
3,120,254
3,092,380
3,184,427
3,595,756
3,940,715
2,770,435
3,580,350
5,224,190
4,050,333
2,822,449
3,319,707
3,195,398
3,176,159
3,314,381
3,613,633
3,423,457
3,364,400
3,486,881
3,312,685
2,968,750
3,651,684
3,623,603
5,174,821
3,394,808
3,291,587
3,066,087
3,421,099
3,649,068
2,728,475
3,737,515
2,538,718
4,116,780
3,163,807
3,353,046
3,993,879
3,464,041
3,803,487
6,016,456
3,923,236
4,631,599
3,246,275
2,413,481
3,277,285
2,631,845
3,469,543
4,404,101
2,510,415
5,076,513
2,822,931
3,565,581
2,458,381
2,679,024
4,456,163
3,601,002
3,398,547
2,602,361
3,920,677
2,441,172
3,453,100
2,604,097
2,917,828
2,922,430
2,756,090
3,114,739
2,896,349
3,129,095
4,497,127
2,746,680
3,111,837
2,667,775
3,499,442
2,749,636
2,909,456
2,727,786
3,800,154
3,129,384
3,688,575
2,294,867
3,137,414
2,662,231
4,504,556
5,303,328
4,053,136
3,070,566
4,490,613
3,072,383
2,804,368
3,968,464
3,201,532
3,879,463
2,985,788
4,359,096
3,656,070
4,487,148
2,727,818
6,319,778
3,079,227
3,197,882
2,369,851
4,636,837
3,390,385
4,589,524
2,938,479
5,880,827
4,227,354
3,814,885
3,978,858
3,948,387
3,594,671
4,328,319
5,638,810
3,945,400
3,691,147
4,082,262
3,668,454
3,667,716
2,572,461
2,623,030
2,707,868
3,854,840
3,352,514
2,786,122
4,177,907
3,366,598
4,343,855
4,962,406
4,154,977
2,300,684
3,273,457
3,305,267
4,017,218
4,238,650
4,033,581
4,151,961
3,879,535
3,170,942
3,833,068
3,324,263
2,664,393
5,028,863
2,822,816
3,543,710
3,824,802
4,142,097
3,649,602
4,098,505
3,814,729
2,685,588
3,939,645
3,635,503
3,498,793
4,222,270
3,799,551
3,381,496
5,293,823
3,627,782
2,711,944
4,165,988
3,479,944
4,202,150
3,441,916
3,561,112
6,016,632
2,812,019
2,541,836
3,306,767
3,150,334
4,557,254
3,728,179
6,188,109
3,703,187
3,472,868
3,834,194
3,815,523
3,701,933
3,778,761
4,891,997
2,811,642
3,060,288
3,713,004
2,491,197
3,970,012
3,415,404
6,128,408
3,637,120
5,995,584
3,765,635
3,139,323
2,612,403
2,523,327
4,141,533
3,408,858
4,127,430
4,183,461
3,363,743
2,890,983
3,367,525
6,194,622
4,026,215
4,151,419
3,602,410
2,972,270
2,611,029
3,472,125
2,591,326
2,643,445
4,004,819
3,292,479
4,012,522
3,418,007
4,582,720
2,936,816
5,237,607
2,765,412
4,339,482
3,571,658
3,802,125
3,865,433
4,268,690
3,463,057
5,327,086
4,038,170
3,815,736
3,577,145
1,510,883,771
