1,356,588
220,119
26,383
27,279
27,150
41,164
25,064
28,030
26,662
27,073
24,890
29,499
25,543
44,339,110
29,257
120,042
25,098
34,747
25,986
45,658
27,743
27,632
27,267
31,492
27,084
31,958
23,907
30,350
26,749
29,951
24,960
33,459
24,638
31,257
40,341
29,582
28,021
29,294
28,530
29,880
32,231
30,812
27,217
30,562
28,671
30,313
27,719
27,640
29,141
42,104
32,983
27,357
35,515
32,317
39,977
29,982
33,048
31,479
36,399
30,993
32,994
24,514
31,120
28,836
44,341
26,630
30,336
29,096
27,051
32,282
27,584
30,501
28,072
31,095
27,466
30,917
24,185
31,959
26,383
44,167
28,022
29,361
28,206
28,829
27,582
31,217
26,284
28,632
30,409
25,835
30,366
28,030
30,429
28,027
45,301
30,623
29,418
25,391
30,412
29,023
27,219
24,532
26,005
25,644
27,515
24,394
29,835
28,120
25,145
41,896
25,664
26,612
23,624
29,318
24,675
26,534
24,268
27,761
23,851
27,757
23,242
30,266
25,623
41,722
24,239
26,568
25,769
26,375
26,695
25,273
29,562
26,711
25,481
27,739
28,324
25,068
26,522
25,368
44,669
25,653
26,672
24,517
24,232
27,113
23,300
26,118
26,722
23,521
25,172
24,750
27,104
25,404
38,520
26,684
28,664
28,042
25,680
27,721
30,805
24,692
27,909
28,672
27,067
29,900
27,604
28,177
24,975
40,484
25,387
28,399
26,512
28,677
27,136
26,327
29,603
25,133
29,396
28,148
29,156
25,457
29,569
26,085
42,572
27,466
26,956
27,509
28,358
27,706
29,913
26,232
29,123
25,698
26,928
27,240
28,968
25,888
27,310
25,897
28,214
26,712
29,493
26,109
29,726
27,177
26,332
24,784
28,119
27,861
29,090
26,252
30,639
39,496
28,374
23,070
27,456
24,294
28,744
30,365
25,317
26,176
26,161
25,526
27,398
117,973
1,086,375
